,title,score,num_comments
0,Want to thank all you apes.,4,0
1,"I fell asleep on my FDs. I'm still in, headed for the Sun. â˜€ï¸ğŸš€ğŸ’âœ‹",1,0
2,Falling Over the Moon (Fun Music Meme),4,0
3,"SNDL, TLRY, APHA 4/20",1,4
4,420 SPY expiring 4/21 at 420.420 breakeven. Wish I could YOLO more but lost it all on puts over the last 3 weeksğŸ¥±ğŸ¥´,1,0
5,Me waiting for GME to moon ğŸ‘ğŸ»ğŸ’ğŸ¦,24,2
6,According to Investorplace article $NIO ğŸš€ğŸŒ• is ripe for a comeback!,7,11
7,AMC Discussion,12,15
8,$RKT ğŸ™ŒğŸ’ operation ğŸ—,0,3
9,I think a monkey can pick better than me,2,10
10,$1.1M YOLO on $MVIS at 11.49 average,13,13
11,INOVIO works against all covid variants!!!,0,7
12,Couldnâ€™t time my NIO calls any worse. Right at the very peak. Iâ€™ll be lucky to break even. Hoping for a miracle like GME or at least to get back to $60. Good luck to everyone in this. Any thoughts?,1,8
13,Am I the last rockateer?,5,12
14,Come and get me one the way to MARS!!!!,26,7
15,"Personal Profit Sharing....Hedgies, I challenge you to match me!",82,15
16,WSB Rules - Please Read Before Posting,11,9
17,RE: On Crypto,674,429
18,AMC filed with the SEC its promise not to issue any of the 500m shares if authorized in 2021 - but what does this really mean?,151,30
19,Some Pre-Market Hype ğŸ’ğŸ™ŒğŸ¼ğŸ™ŒğŸ¼ğŸ¦ğŸ¦ğŸ¦ğŸš€ğŸš€ğŸš€ğŸŒ–ğŸŒ–,2150,158
20,When Citadel finally has to come to us for our shares,1096,76
21,"GME Megathread for April 15, 2021",12121,7651
22,$UWMC YOLO BUT doesnâ€™t like to move,43,34
23,"Unpinned Daily Discussion Thread for April 15, 2021",0,269
24,"Daily Discussion Thread for April 15, 2021",330,5979
25,$NIO unveil ET7 2.0 upcoming money glitch,107,51
26,AMC YOLO CALL GONE WRONG,374,90
27,$SU YOLO - Summer time will be sizzling !,15,10
28,The most logical APHA/TLRY Merger Play that know one is talking about,17,38
29,$72K $OPEN Opendoor ALL IN. Cathie picked up 600K more shares in the 19s totaling over 11M shares. Target: $50+ mid to end summer 2021,45,32
30,"21k Alibaba YOLO, 2 days in, 2.5K down",27,16
31,$NOK it off!,111,65
32,"""Victory Has Defeated You"" - A quote to remember and live by...",782,91
33,AMC CEO PLEDGES AND WILL FILE THAT THEY WILL NOT SELL A SINGLE SHARE OF THE POTENTIAL NEW 500 MILLION AMC SHARES ISSUED,7307,631
34,"Buy DFEN, RTX, LMT, and BA calls",44,49
35,"Cathie Woodâ€™s ARK Invest Buys Nearly 750,000 Shares of Coinbase",427,143
36,Poshmark a hidden diamond. Hello Apes can we ride here to the moon?,0,40
37,$COIN = MOON POTENTIAL,49,104
38,Edward Woo from Ascendiant and his $10 price target can kiss my hairy gorilla ass! ğŸ’ğŸ‘ŠğŸš€,1467,62
39,GME Am I doing this right? Plan to ğŸ’ğŸ™ŒğŸ¼ these babies and exercise them,646,85
